Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Status
your-customized-tapestry,Your Customized Tapestry,,MetalPosters,,,Customized Poster,true,Title,Default Title,,,,,,0,,,deny,manual,0.00,,true,true,,,,,false,Your Customized Tapestry,,,kg,active
red-sun-great-wave-metal-poster,Red Sun Great Wave Metal Poster,"<p>Ride the wave of stunning wall art with the Red Sun Great Wave Metal Poster by Walltistic! A bold reimagining of a classic masterpiece, printed on premium metal for rich, vivid color. Perfect for art lovers &amp; modern interiors. Fade-resistant &amp; ready to hang!</p>",MetalPosters,,UHD Metal Poster,"Art, Metal Poster, New Arrival",true,Size,8x5.5 (A5),,,,,,0,,,deny,manual,999.00,,true,true,,https://cdn.shopify.com/s/files/1/0605/0840/5835/files/1_c3591cef-48f9-417e-9cbc-04a386bfbf2d.png?v=1774045556,1,Red Sun Great Wave Metal Poster,false,Red Sun Great Wave Metal Poster,"Ride the wave of stunning wall art with the Red Sun Great Wave Metal Poster by Walltistic! A bold reimagining of a classic masterpiece, printed on premium metal for rich, vivid color. Perfect for art lovers & modern interiors. Fade-resistant & ready to hang!",,kg,active
red-sun-great-wave-metal-poster,,,,,,,,Size,8x11 (A4),,,,,,0,,,deny,manual,1499.00,,true,true,,https://cdn.shopify.com/s/files/1/0605/0840/5835/files/2_f9149a3e-451d-4844-ba8b-a10f1bdc7d38.png?v=1774045557,2,Red Sun Great Wave Metal Poster,,,,,kg,
red-sun-great-wave-metal-poster,,,,,,,,Size,15x11 (A3),,,,,,0,,,deny,manual,2999.00,,true,true,,https://cdn.shopify.com/s/files/1/0605/0840/5835/files/3_91ce6f62-ea56-4c69-bb42-3846b45c34d5.png?v=1774045557,3,Red Sun Great Wave Metal Poster,,,,,kg,
red-sun-great-wave-metal-poster,,,,,,,,Size,23x15 (A2),,,,,,0,,,deny,manual,5499.00,,true,true,,https://cdn.shopify.com/s/files/1/0605/0840/5835/files/4_f36b5f0b-a1b5-485f-97a7-28170a9fc364.png?v=1774045557,4,Red Sun Great Wave Metal Poster,,,,,kg,
red-sun-great-wave-metal-poster,,,,,,,,Size,31x23 (A1),,,,,,0,,,deny,manual,9999.00,,true,true,,https://cdn.shopify.com/s/files/1/0605/0840/5835/files/5_74def619-6c3f-48fb-94fd-9937fb05ef50.png?v=1774045556,5,Red Sun Great Wave Metal Poster,,,,,kg,
rateoe-space-adventurer-cat-metal-poster,Rateoe Space Adventurer Cat Metal Poster,"<p>Blast off with this bold Rateoe Space Adventurer Cat Metal Poster! A purrfect fusion of cosmic art and feline charm, printed on premium metal for vivid, lasting color. Ideal for cat lovers, sci-fi fans &amp; gamers. Durable, fade-resistant &amp; ready to hang!</p>",MetalPosters,,UHD Metal Poster,"Animals, Art, Metal Poster",true,Size,8x5.5 (A5),,,,,,0,,,deny,manual,999.00,,true,true,,https://cdn.shopify.com/s/files/1/0605/0840/5835/files/1_310c6407-57a8-4179-937c-69b3e8ab2ae2.png?v=1774044614,1,Rateoe Space Adventurer Cat Metal Poster,false,Rateoe Space Adventurer Cat Metal Poster,"Blast off with this bold Rateoe Space Adventurer Cat Metal Poster! A purrfect fusion of cosmic art and feline charm, printed on premium metal for vivid, lasting color. Ideal for cat lovers, sci-fi fans & gamers. Durable, fade-resistant & ready to hang!",,kg,active
rateoe-space-adventurer-cat-metal-poster,,,,,,,,Size,8x11 (A4),,,,,,0,,,deny,manual,1499.00,,true,true,,https://cdn.shopify.com/s/files/1/0605/0840/5835/files/2_eda089ba-05a5-41ff-a45d-f18bd8cbd4ad.png?v=1774044615,2,Rateoe Space Adventurer Cat Metal Poster,,,,,kg,
rateoe-space-adventurer-cat-metal-poster,,,,,,,,Size,15x11 (A3),,,,,,0,,,deny,manual,2999.00,,true,true,,https://cdn.shopify.com/s/files/1/0605/0840/5835/files/3_a6d151d3-85fe-4ecb-ae8d-88f018eff44f.png?v=1774044614,3,Rateoe Space Adventurer Cat Metal Poster,,,,,kg,
rateoe-space-adventurer-cat-metal-poster,,,,,,,,Size,23x15 (A2),,,,,,0,,,deny,manual,5499.00,,true,true,,https://cdn.shopify.com/s/files/1/0605/0840/5835/files/4_966c82cf-5943-4d35-bd91-810aaa10f420.png?v=1774044615,4,Rateoe Space Adventurer Cat Metal Poster,,,,,kg,
